keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
EFFECT_GAIN_STATS_ON_REROLL,{2} chance to get {0} {1} when rerolling in the shop,{2} chances d'obtenir {0} {1} lors d'une randomisation dans la boutique,刷新时有{2}的概率在商店获得{0}{1},リロール時にショップで {2} の確率で {0} {1} を入手します,초기화 시 상점에서 {2} 확률로 {0} {1} 획득,重骰時有{2}機率在商店裡會獲得{0}{1},Шанс {2} получить {0} к параметру «{1}» при замене в магазине.,{2} szans na zyskanie {1} {0} po przerzuceniu w sklepie,{2} de probabilidad de obtener {0} de {1} al repetir en la tienda,{2} de chance de obter {0} de {1} após a renovação na loja.,"Chance von {2}, bei ""Neu würfeln"" im Laden {0} {1} zu bekommen",Dükkânda yenileme yaparken {2} ihtimalle {0} {1} alırsın,{2} di probabilità di ottenere {0} {1} quando cambi oggetti nel negozio.
EFFECT_BREAK_ON_HIT,Has a {0} chance to break and drop {2} materials on hit,A {0} de chance de se briser et de laisser tomber {2} matériaux en cas d'impact,命中时武器有{0}几率损坏并掉落{2}材料,ヒット時に {0} の確率で壊れて {2} をドロップします,타격 시 {0} 확률로 부서져 {2}개의 재료를 떨어뜨림,有{0}的機率會破碎並掉落{2}素材,Шанс {0} сломаться и обронить материалы ({2}) при ударе.,Ma {0} szans na zepsucie się i upuszczenie tylu materiałów przy trafieniu: {2},Tiene una probabilidad del {0} de romperse y soltar {2} materiales al recibir un golpe,Tem {0} de chance de quebrar e deixar {2} materiais ao acertar.,"Chance von {0}, zu zerbrechen und bei einem Treffer {2} Materialien fallen zu lassen",İsabet ettiğinde {0} ihtimalle kırılıp {2} malzeme düşürür,"{0} di probabilità che si rompa quando colpisce, generando {2} materiali."
EFFECT_INCREASE_DAMAGE_RECEIVED,Enemies hit take {0} more damage for {2} seconds (max: {3}),Les ennemis touchés subissent {0} dégâts supplémentaires pendant {2} secondes (max : {3}),敌人会额外承受{0}伤害，持续{2}秒（上限：{3}）,攻撃されると、{2} 秒間、敵は {0} の追加ダメージを受けます（最大：{3}）,적 타격이 {2}초 동안 {0} 대미지를 더 받음(최대: {3}),命中的敵人會額外受到{0}傷害，持續{2}秒（最多：{3}秒）,Враги получают на {0} больше урона в течение {2} сек. (до {3}).,Trafieni przeciwnicy otrzymują {0} więcej obrażeń przez {2} s (maks.: {3}),Los enemigos reciben un {0} más de daño durante {2} segundos (máx.: {3}),Inimigos atingidos sofrem {0} a mais de dano por {2} segundos (máx.: {3}).,Getroffene Gegner erleiden {2} Sekunden lang {0} mehr Schaden (max.: {3}),Vurulan düşmanlar {2} saniyeliğine {0} daha fazla hasar alır (maks: {3}),I nemici colpiti subiscono un {0} di danni in più per {2} secondi (max: {3}).
EFFECT_EXPLODE_WHEN_BELOW_HP,"Once per wave, you explode for {1} ({2}) damage when you fall below {4} health","Une fois par vague, vous explosez et infligez {1} ({2}) points de dégâts lorsque votre santé chute en dessous de {4}",每次敌袭中，当你生命值低于{4}时，你会爆炸并造成{1}（{2}）伤害,1ウェーブにつき1回、HPが {4} 以下になると爆発してダメージ {1}（{2}） を付与,"웨이브 당 한 번, 체력이 {4} 밑으로 떨어지면 {1}({2}) 대미지를 주며 폭발",當波對戰中會有一次，當你的生命值低於{4}時會爆炸，造成{1}（{2}）傷害,"Один раз за волну вы взрываетесь и наносите {1} урона ({2}), если ваш уровень здоровья ниже {4}.","Raz na falę eksplodujesz, zadając {1} ({2}) obrażeń, gdy twoje zdrowie spadnie poniżej {4}","Una vez por oleada, provocas una explosión que causa {1} ({2}) de daño cuando tienes menos de {4} de salud","Uma vez a cada onda, você explode causando {1} ({2}) de dano quando estiver com menos de {4} de vida.","Du explodierst einmal pro Welle für {1} ({2}) Schaden, wenn dein Leben unter {4} fällt",Her hücumda bir defa olmak üzere sağlığın {4} altında düştüğünde patlayarak {1} ({2}) hasar verirsin,"Una volta per ondata, esplodi infliggendo {1} ({2}) danni quando la tua salute scende al di sotto della soglia ({4})."
EFFECT_CHANCE_EXPLODE_ON_HIT,You have a {0} chance to explode for {1} ({2}) damage when you get hit,Vous avez {0} de chances d'exploser et d'infliger {1} ({2}) dégâts lorsque vous êtes touché,当你被击中时，有{0}概率爆炸，造成{1}（{2}）伤害,攻撃を受けると {0} の確率で爆発して {1}（{2}）ダメージを付与,타격받았을 때 {0} 확률로 {1}({2}) 대미지를 주며 폭발,被命中時，你有{0}機率會爆炸，並造成{1}（{2}）傷害,При получении урона вы можете взорваться с шансом {0} и нанести урон: {1} ({2}).,Masz {0} szans na eksplodowanie i zadanie {1} ({2}) pkt. obrażeń po trafieniu przez przeciwników,Tienes un {0} de probabilidad de explotar y causar {1} ({2}) de daño al recibir daño,"Ao sofrer dano, você tem {0} de chance de explodir e causar {1} ({2}) de dano.","Chance von {0}, für {1} ({2}) Schaden zu explodieren, wenn du Schaden nimmst",Vurulduğunda {0} ihtimalle patlayarak etrafına {1} ({2}) hasar verirsin,{0} di probabilità di esplodere infliggendo {1} ({2}) danni quando ti colpiscono.
EFFECT_HIT_PROTECTION_PLURAL,Nullifies the damage of {0} hits taken every wave,Annule les dégâts de {0} coups reçus à chaque vague,在每一波敌袭中会抵消{0}次攻击伤害,ウェーブ毎に {0} ヒット分のダメージを無効化する,웨이브마다 받는 타격 {0}번의 대미지를 무효화합니다,每波對戰可使{0}次命中的傷害無效,Обнуляет урон {0} ударов за волну.,Neutralizuje obrażenia zadane przez tyle trafień w każdej fali: {0},"Cada oleada, anula el daño de {0} golpes que recibas",Anula o dano de {0} golpes sofridos a cada onda.,Hebt den erlittenen Schaden von {0} Treffern pro Welle auf,Her hücumda alınan {0} darbenin hasarını sıfırlar,Annulla i danni ricevuti da {0} colpi per ondata.
EFFECT_INCREASE_TIER_ON_REROLL_PLURAL,Items will be {0} tiers higher after the next reroll,Les objets seront de {0} grades supérieurs après la prochaine randomisation,道具将在下次刷新后提升{0}个级别,次のリロール後、アイテムが {0} ティア高いものになります,아이템은 다음 초기화 후에 {0} 등급 더 높아질 겁니다,下次重骰後，道具會提升{0}級,После следующей замены предметы поднимаются на несколько классов: {0}.,Po następnym przerzuceniu poziom przedmiotów będzie o tyle wyższy: {0},Los objetos serán de {0} categorías más altas tras la siguiente repetición,Os itens ganham {0} graus após a próxima renovação.,"Items sind nach dem nächsten ""Neu würfeln"" {0} Stufen besser",Sıradaki yenilemeden sonra eşyalar {0} seviye yükselir,La categoria degli oggetti sarà superiore di {0} dopo il prossimo cambio.
EFFECT_BOUNCING_PLURAL,Your projectiles gain {0} bounces,Les projectiles rebondissent {0} fois de plus en cas de coup critique,你的投射物获得{0}次反弹,発射物が跳ね返りを {0} 回獲得します,발사체가 {0}만큼의 튕김을 획득,你的投射物獲得{0}反彈,Ваши снаряды будут отскакивать {0} р.,Twoje pociski zyskują tyle odbić: {0},Tus proyectiles obtienen {0} rebotes,Seus projéteis ganham {0} rebotes.,Deine Projektile erhalten {0} Abpraller,Roketler {0} sekme kazanır,{0} al rimbalzo dei proiettili.
EFFECT_PIERCING_PLURAL,Projectiles pierce through {0} additional targets,Les projectiles perçent {0} fois de plus en cas de coup critique,投射物贯通{0}个额外目标,発射物は追加ターゲット {0} 体を貫通します,발사체가 추가 {0}개 타겟을 관통합니다,投射物貫穿{0}個額外目標,Снаряды пробивают дополнительные цели: {0}.,Pociski przebijają tyle dodatkowych celów: {0},Los proyectiles atraviesan {0} objetivos adicionales,Os projéteis atravessam {0} alvos a mais.,Projektile durchbohren {0} zusätzliche Ziele,Roketler fazladan {0} hedefi deler,I proiettili perforano {0} bersagli in più.
EFFECT_FREE_SHOP_REROLL_PLURAL,{0} free rerolls in the shop,{0} randomisations gratuites dans la boutique,商店免费刷新{0}次,ショップで無料のリロール {0} 回,상점에서 {0}번의 무료 초기화,商店裡能免費重骰{0}次,Бесплатные замены в магазине: {0} р.,Tyle darmowych przerzuceń w sklepie: {0},{0} repeticiones gratis en la tienda,Permite a renovação gratuita dos itens da loja {0} vezes.,{0} Mal kostenlos neu würfeln im Laden,Dükkânda {0} ücretsiz yenileme hakkı,{0} cambi gratuiti nel negozio.
EFFECT_TREES_PLURAL,A lot more trees spawn,Beaucoup plus d'arbres apparaissent,生成更大量的树木,出現する木が激増します,아주 많은 나무가 생성됨,生成更多樹木,Появляется намного больше деревьев.,Pojawia się o wiele więcej drzew,Aparecen un montón de árboles más,Gera muito mais árvores.,Es spawnen deutlich mehr Bäume,Çok daha fazla ağaç ortaya çıkar,Sulla mappa compaiono molti più alberi.
EFFECT_EXTRA_LOOT_ALIENS,{0} additional loot aliens appear every wave,{0} extraterrestres portant du butin additionnels apparaissent à chaque vague,每次敌袭会多出现{0}个战利品外星人,各ウェーブで戦利品エイリアンが追加で {0} 体登場します,매 웨이브 전리품 외계인이 {0}만큼 추가로 등장,每波對戰會出現{0}個額外戰利品異形,Каждую волну дополнительно появляются пришельцы с добычей ({0}).,W każdej fali pojawiać się będzie tylu dodatkowych obcych z łupami: {0},Aparecen {0} alienígenas de botín adicionales en cada oleada,{0} de alienígenas do tesouro adicionais em todas as ondas.,{0} zusätzliche Beute-Aliens erscheinen während jeder Welle,Her hücumda fazladan {0} yağmacı uzaylı gelir,{0} alieni con bottino aggiuntivi durante ogni ondata.
EFFECT_STRONGER_ELITES_ON_KILL,All future elites and bosses become stronger when you kill an elite or a boss,Tous les futurs élites et boss deviennent plus forts lorsque vous tuez un élite ou un boss,当你击杀一个精英怪或头目时，所有未来的精英怪和头目都会变更强,エリートやボスを倒すと、今後のエリートとボスがすべて強化されます,엘리트 혹은 보스를 죽이면 모든 향후 엘리트 및 보스가 더 강해짐,你每殺死一個菁英或頭目，所有未來的菁英和頭目都會變得更強大一些,"Все появляющиеся элиты и боссы становятся сильнее, когда вы убиваете элиту или босса.","Po tym, jak uda ci się zabić pot. elitarnego lub bossa wszystkie przyszłe pot. elitarne i bossy stają się silniejsze",Los próximos enemigos de élite y jefes se vuelven más fuertes al eliminar a otros enemigos de élite y jefes,Todos os elites e chefes futuros se tornam mais fortes quando você elimina um elite ou um chefe.,"Alle künftigen Elitegegner und Bosse werden stärker, wenn du einen Elitegegner oder Boss tötest",Bir elit veya boss öldürdüğünde karşılaşacağın diğer tüm elit ve bosslar daha güçlü olur,"Uccidendo un miniboss o un boss, rafforzi tutti i miniboss e boss futuri."
EFFECT_STRONGER_LOOT_ALIENS_ON_KILL,All future loot aliens become stronger when you kill a loot alien,Tous les futurs extraterrestres portant du butin deviennent plus forts lorsque vous tuez un extraterrestre portant du butin,当你击杀一个战利品外星人时，所有未来的战利品外星人都会变得更强,戦利品エイリアンを倒すと、今後の戦利品エイリアンがすべて強化されます,전리품 외계인을 죽이면 모든 향후 전리품 외계인이 더 강해짐,你每殺死一個戰利品異形，所有未來的戰利品異形都會變得更強大一些,"Все появляющиеся пришельцы с добычей становятся сильнее, когда вы убиваете пришельца с добычей.",Po zabiciu obcego z łupami wszyscy przyszli obcy z łupami stają się silniejsi,Los próximos alienígenas de botín se vuelven más fuertes al eliminar a otros alienígenas de botín,Todos os alienígenas do tesouro futuros se tornam mais fortes quando você elimina um alienígena do tesouro.,"Alle künftigen Beute-Aliens werden stärker, wenn du ein Beute-Alien tötest",Bir yağmacı uzaylı öldürdüğünde karşılaşacağın diğer tüm yağmacı uzaylılar daha güçlü olur,"Uccidendo un alieno con bottino, rafforzi tutti gli alieni con bottino futuri."
EFFECT_EXPLODE_AND_BURN_ON_CONSUMABLE,Consumables explode for {4}x{5} ({6}) burning damage when picked up,Les consommables explosent et infligent {4}x{5} ({6}) de dégâts de brûlure lorsqu'ils sont ramassés,捡起消耗品时，它会爆炸并造成{4}x{5}（{6}）燃烧伤害,消耗品を拾うと、爆発して燃焼ダメージを {4}x{5}（{6}） 付与,소모품은 획득되면 {4}x{5}({6}) 화상 대미지를 주며 폭발함,被撿起的消耗品爆炸時會造成{4}x{5}（{6}）的燃燒傷害,"Расходники взрываются и наносят {4}x{5} урона горения ({6}), когда вы их поднимаете.",Znajdźki eksplodują i zadają {4}x{5} ({6}) obrażeń przy podnoszeniu,Los consumibles explotan causando {4}x{5} ({6}) de daño por quemadura al recogerlos,Os consumíveis explodem e causam {4}x{5} ({6}) de dano de queimadura ao serem coletados.,Verbrauchsgegenstände explodieren beim Aufsammeln und verursachen {4}x{5} ({6}) Brandschaden,Toplanan tüketilebilir eşyalar patlayarak {4}x{5} ({6}) yanma hasarı verir,"Quando li raccogli, i materiali consumabili esplodono infliggendo {4}x{5} ({6}) danni da bruciatura."
EFFECT_BUILDER_TURRET,You start with a special turret that mimics your best weapon's projectiles and scales with {4},Vous commencez avec une tourelle spéciale qui imite les projectiles de votre meilleure arme et est basée sur {4},你在开始时拥有一个特殊炮塔，它会模仿你最强武器的投射物，并随着{4}升级,最強武器の発射物を模倣し、{4} で拡大した特殊タレットで開始します,최고 무기의 발사체를 모방하며 {4}에 비례해 증가하는 특별 포탑과 함께 시작,最先開始的是一個特殊的炮塔，它會模仿你最佳武器的投射物，並具有相稱的{4},"Начните с особой турелью, которая копирует снаряды вашего лучшего оружия и увеличивает параметр «{4}».","Zacznij od specjalnej wieżyczki, która naśladuje pociski twojej najlepszej broni i skaluje się z: {4}",Empiezas con una torreta especial que replica los proyectiles de tu mejor arma y las potencia con {4},Você começa com uma torreta especial que imita os projéteis da sua melhor arma e escala com {4}.,"Beginne mit einem Spezialgeschütz, das die Projektile deiner besten Waffe nachahmt und mit {4} skaliert",En iyi silahının roketlerini ateş edebilen özel bir taret olarak başlar ve {4} katına çıkar,Inizi con una torretta che imita i proiettili della tua arma migliore e i cui danni si basano sul parametro {4}.
EFFECT_NO_STRUCTURES,You can't have structures,Vous ne pouvez pas avoir de structures,你无法建造构筑物,構造物は持てません,구조를 보유할 수 없음,你無法擁有結構物,Нельзя разместить постройки,Nie możesz mieć budowli,No puedes tener estructuras,Você não pode ter nenhuma estrutura.,Du kannst keine Konstruktionen haben,Yapı kuramazsın,Non puoi avere strutture.
ITEM_BUILDER_TURRET,Builder's Turret,Tourelle du Constructeur,建造者的炮塔,建築家の砲塔,건축업자의 포탑,建築工人的砲台,Турель Строителя,Wieżyczka Budowniczego,Torreta del Constructor,Torreta do Construtor,Baumeister-Geschütz,İnşaatçının Tareti,Torretta del Costruttore
ITEM_BUILDER_TURRET_0,Builder's Turret,Tourelle du Constructeur,建造者的炮塔,建築家の砲塔,건축업자의 포탑,建築工人的砲台,Турель Строителя,Wieżyczka Budowniczego,Torreta del Constructor,Torreta do Construtor,Baumeister-Geschütz,İnşaatçının Tareti,Torretta del Costruttore
EFFECT_BUILDER_TURRET_ALT,This turret's stats are derived from your best ranged weapon's base stats and scale with {4} ({5}),Les statistiques de cette tourelle sont dérivées des statistiques de base de votre meilleure arme à distance et se basent sur {4} ({5}),此炮塔的属性基于你最佳远程武器的基础属性，并随着{4}（{5}）升级,このタレットのステータスは最強の遠隔武器の基礎ステータスを元にしており、{4}（{5}）に比例してスケーリングします,이 포탑의 스탯은 당신의 최고 원거리 무기의 기본 스탯에서 비롯되며 {4} ({5})에 비례해 증가합니다,此砲塔的屬性基於你最佳遠程武器的基礎屬性，並隨著{4}（{5}）變強,Статы этой турели основаны на базовых характеристиках вашего лучшего дальнобойного оружия и зависят от {4} ({5}),Statystyki tej wieżyczki pochodzą z bazowych statystyk twojej najlepszej broni dystansowej i skalują się z {4} ({5}),Las estadísticas de esta torreta se derivan de las estadísticas base de tu mejor arma a distancia y se potencian con {4} ({5}),As estatísticas desta torreta são derivadas das estatísticas base da sua melhor arma de longo alcance e escalam com {4} ({5}),Die Werte dieses Geschützes sind von den Basiswerten deiner besten Fernkampfwaffe abgeleitet und skalieren mit {4} ({5}),"Bu tarete, en iyi menzilli silahının temel istatistiklerini alır ve {4} ({5}) ile güçlenir",Le statistiche di questa torretta sono derivate dalle statistiche base della tua migliore arma a distanza e si basano su {4} ({5})
EFFECT_BUILDER_TURRET_UPGRADE,{0} {1} when you reach {2} {3} [{4}/{5}],{0} {1} lorsque vous atteignez {2} {3} [{4}/{5}],达到{2} {3} 时{0} {1} [{4}/{5}],{2} {3} に達すると{0} {1} [{4}/{5}],{2} {3}에 도달하면 {0} {1} [{4}/{5}],達到{2} {3} 時{0} {1} [{4}/{5}],{0} {1} при достижении {2} {3} [{4}/{5}],{0} {1} gdy osiągniesz {2} {3} [{4}/{5}],{0} {1} cuando alcances {2} {3} [{4}/{5}],{0} {1} quando alcançar {2} {3} [{4}/{5}],{0} {1} wenn du {2} {3} erreichst [{4}/{5}],{0} {1} {2} {3} ulaştığında [{4}/{5}],{0} {1} quando raggiungi {2} {3} [{4}/{5}].
BG_SHIPWRECK,Shipwreck,Épave,沉船,難破船,난파선,沉船,Кораблекрушение,Wrak,Barco Hundido,Naufrágio,Schiffswrack,Enkaz,Relitto
BG_ABYSS,Abyss,Abysses,深渊,深淵,심해,深淵,Бездна,Otchłań,Abismo,Abismo,Abyssus,Uçurum,Abisso
ACTIVATIONS,Activations: {0},Activations : {0},激活次数：{0},発動回数：{0},발동 횟수: {0},觸發次數：{0},Срабатывания: {0},Aktywacje: {0},Activaciones: {0},Ativações: {0},Aktivierungen: {0},Etkinleştirmeler: {0},Attivazioni: {0}
LEVELS_AFFECTED,Levels affected: {0},Niveaux affectés : {0},受影响的等级：{0},影響を受けたレベル：{0},영향을 받은 레벨: {0},受影響的等級：{0},Затронутые уровни: {0},Poziomy dotknięte: {0},Niveles afectados: {0},Níveis afetados: {0},Betroffene Level: {0},Etkilenen seviyeler: {0},Livelli influenzati: {0}
ITEMS_FOUND,Items found: {0},Objets trouvés : {0},找到的道具：{0},発見されたアイテム：{0},발견된 아이템: {0},找到的道具：{0},Найдено предметов: {0},Znalezione przedmioty: {0},Objetos encontrados: {0},Itens encontrados: {0},Gefundene Items: {0},Bulunan eşyalar: {0},Oggetti trovati: {0}
